Name,SYMBOL,NAME OF COMPANY, SERIES
BLBLIMITED.NS,BLBLIMITED,BLB Limited,EQ
BLISSGVS.NS,BLISSGVS,Bliss GVS Pharma Limited,EQ
BLKASHYAP.NS,BLKASHYAP,B. L. Kashyap and Sons Limited,BE
BLS.NS,BLS,BLS International Services Limited,EQ
BLUEBLENDS.NS,BLUEBLENDS,Blue Blends (I) Limited,BZ
BLUECHIP.NS,BLUECHIP,Blue Chip India Limited,BE
BLUECOAST.NS,BLUECOAST,Blue Coast Hotels Limited,BE
BLUEDART.NS,BLUEDART,Blue Dart Express Limited,EQ
BLUESTARCO.NS,BLUESTARCO,Blue Star Limited,EQ
BODALCHEM.NS,BODALCHEM,Bodal Chemicals Limited,EQ
BOMDYEING.NS,BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ
BORORENEW.NS,BORORENEW,BOROSIL RENEWABLES LIMITED,EQ
BOSCHLTD.NS,BOSCHLTD,Bosch Limited,EQ
BPCL.NS,BPCL,Bharat Petroleum Corporation Limited,EQ
BPL.NS,BPL,BPL Limited,BE
BRFL.NS,BRFL,Bombay Rayon Fashions Limited,BE
BRIGADE.NS,BRIGADE,Brigade Enterprises Limited,EQ
BRITANNIA.NS,BRITANNIA,Britannia Industries Limited,EQ
BRNL.NS,BRNL,Bharat Road Network Limited,EQ
BROOKS.NS,BROOKS,Brooks Laboratories Limited,BE
BSE.NS,BSE,BSE Limited,EQ
BSELINFRA.NS,BSELINFRA,BSEL Infrastructure Realty Limited,EQ
BSL.NS,BSL,BSL Limited,EQ
BSOFT.NS,BSOFT,BIRLASOFT LIMITED,EQ
BURNPUR.NS,BURNPUR,Burnpur Cement Limited,EQ
BUTTERFLY.NS,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ
BVCL.NS,BVCL,Barak Valley Cements Limited,BE
BYKE.NS,BYKE,The Byke Hospitality Ltd,EQ
CADILAHC.NS,CADILAHC,Cadila Healthcare Limited,EQ
CALSOFT.NS,CALSOFT,California Software Company Limited,BE
CAMLINFINE.NS,CAMLINFINE,Camlin Fine Sciences Limited,EQ
CANBK.NS,CANBK,Canara Bank,EQ
CANDC.NS,CANDC,C & C Constructions Limited,BZ
CANFINHOME.NS,CANFINHOME,Can Fin Homes Limited,EQ
CANTABIL.NS,CANTABIL,Cantabil Retail India Limited,EQ
CAPACITE.NS,CAPACITE,Capacit'e Infraprojects Limited,EQ
CAPLIPOINT.NS,CAPLIPOINT,Caplin Point Laboratories Limited,EQ
CAPTRUST.NS,CAPTRUST,Capital Trust Limited,EQ
CARBORUNIV.NS,CARBORUNIV,Carborundum Universal Limited,EQ
CAREERP.NS,CAREERP,Career Point Limited,EQ
CARERATING.NS,CARERATING,CARE Ratings Limited,EQ
CASTEXTECH.NS,CASTEXTECH,Castex Technologies Limited,BE
CASTROLIND.NS,CASTROLIND,Castrol India Limited,EQ
CCCL.NS,CCCL,Consolidated Construction Consortium Limited,BE
CCHHL.NS,CCHHL,Country Club Hospitality & Holidays Limited,BE
CCL.NS,CCL,CCL Products (India) Limited,EQ
CDSL.NS,CDSL,Central Depository Services (India) Limited,EQ
CEATLTD.NS,CEATLTD,CEAT Limited,EQ
CEBBCO.NS,CEBBCO,Commercial Engineers & Body Builders Co Limited,EQ
CELEBRITY.NS,CELEBRITY,Celebrity Fashions Limited,EQ
CENTENKA.NS,CENTENKA,Century Enka Limited,EQ
CENTEXT.NS,CENTEXT,Century Extrusions Limited,EQ
CENTRALBK.NS,CENTRALBK,Central Bank of India,EQ
CENTRUM.NS,CENTRUM,Centrum Capital Limited,EQ
CENTUM.NS,CENTUM,Centum Electronics Limited,EQ
CENTURYPLY.NS,CENTURYPLY,Century Plyboards (India) Limited,EQ
CENTURYTEX.NS,CENTURYTEX,Century Textiles & Industries Limited,EQ
CERA.NS,CERA,Cera Sanitaryware Limited,EQ
CEREBRAINT.NS,CEREBRAINT,Cerebra Integrated Technologies Limited,BE
CESC.NS,CESC,CESC Limited,EQ
CESCVENT.NS,CESCVENT,CESC Ventures Limited,EQ
CGCL.NS,CGCL,Capri Global Capital Limited,EQ
CGPOWER.NS,CGPOWER,CG Power and Industrial Solutions Limited,EQ
CHALET.NS,CHALET,Chalet Hotels Limited,EQ
CHAMBLFERT.NS,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ
CHEMBOND.NS,CHEMBOND,Chembond Chemicals Ltd,EQ
CHEMFAB.NS,CHEMFAB,Chemfab Alkalis Limited,EQ
CHENNPETRO.NS,CHENNPETRO,Chennai Petroleum Corporation Limited,EQ
CHOLAFIN.NS,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ
CHOLAHLDNG.NS,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ
CHROMATIC.NS,CHROMATIC,Chromatic India Limited,EQ
CIGNITITEC.NS,CIGNITITEC,Cigniti Technologies Limited,EQ
CIMMCO.NS,CIMMCO,Cimmco Limited,EQ
CINELINE.NS,CINELINE,Cineline India Limited,EQ
CINEVISTA.NS,CINEVISTA,Cinevista Limited,BE
CIPLA.NS,CIPLA,Cipla Limited,EQ
